census_tract,long,lat,Applications,One.to.Four.Unit,loan_type,mfrd,year,Hispanic,N.Hispanic,Native,Asian,Black,Pacific,White,Race_Other,Male,Female,Accepted,Denied,Action_Other,Purchase,Improvement,Purpose_Other,Lien.First,Lien.Sub,Med.Spread,Stdv.Spread,Hoepa,Med.Income,Stdv.Income,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,Stdv.Loan,Med.Loan,loan.return,app.growth
45001950100,-82.33447413,34.41191381,76,76,Conventional,17,2018,2,73,0,0,6,0,74,21,57,24,48,16,12,50,4,22,67,9,1.067,1.597018456,76,55,31.6322984,3066,20.71,48300,112,1045,1494,69.72275925,85,-6.593406593,-6.172839506
45001950200,-82.41123885,34.32680151,111,111,Conventional,23,2018,1,130,3,1,13,2,118,34,77,59,67,27,17,53,4,54,107,4,0.616,1.007469968,111,63.5,38.79719557,4085,23.77,48300,116,1045,1630,84.03023909,115,12.74509804,-11.2
45001950300,-82.58362221,34.25005148,132,132,Conventional,35,2018,0,163,0,0,9,0,156,25,92,78,76,28,28,79,7,46,126,6,0.79845,1.058152187,132,51,60.09202592,3285,7.98,48300,120,1200,2104,78.69287654,105,9.375,14.7826087
45001950400,-82.36847134,34.22124974,200,200,Conventional,7,2018,5,210,2,2,24,0,185,65,121,99,124,33,43,102,6,92,190,10,0.7195,1.016170212,200,51,51.16462499,6277,29.98,48300,101,1896,2502,63.59347964,95,-5,36.05442177
45001950500,-82.37979236,34.12604493,133,133,Conventional,23,2018,4,133,1,0,34,0,105,46,75,73,70,37,26,62,5,66,121,12,0.8395,1.490465167,133,50.5,41.38646767,5184,47.47,48300,87,1616,2497,80.64454692,85,-11.45833333,9.016393443
45001950600,-82.58839449,34.13181335,46,46,Conventional,4,2018,1,49,0,0,14,0,35,9,29,23,17,17,12,18,3,25,41,5,1,1.630810437,46,38,147.1726704,3100,50.23,48300,86,769,1437,50.84265773,55,-14.0625,-14.81481481
45003020100,-81.56011901,33.75792226,150,150,Conventional,67,2018,5,157,0,0,29,0,147,25,112,73,67,51,32,79,12,59,131,19,1.139,1.888035299,150,54.5,68.05193221,4798,34.68,62300,95,1414,2259,95.73443881,95,3.260869565,13.63636364
45003020200,-81.64897894,33.65699619,276,276,Conventional,37,2018,19,278,2,0,39,0,265,84,188,123,186,42,48,163,6,107,267,9,0.714,1.335149853,276,62,48.15193749,5459,28.87,62300,118,1806,2434,94.38420487,155,6.896551724,21.58590308
45003020301,-81.80039985,33.65535649,63,63,Conventional,18,2018,0,65,0,0,10,0,57,18,41,29,34,17,12,26,5,32,61,2,0.945,1.671022693,63,65,50.94812837,2255,13.7,62300,94,641,1033,139.6539502,105,-9.871244635,-4.545454545
45003020302,-81.75758133,33.60688455,280,280,Conventional,23,2018,12,249,1,8,57,0,204,110,147,138,190,44,46,205,8,67,269,11,0.5795,1.389786148,280,60.5,45.29053324,5754,55.75,62300,71,1336,2487,77.02600621,135,9.756097561,4.089219331
45003020400,-81.83892766,33.56963189,580,580,Conventional,13,2018,25,506,6,8,195,2,337,251,333,224,412,86,82,407,10,163,559,21,0.6645,0.937399852,580,63,35.80669923,7445,32.21,62300,89,1853,2692,66.64469294,175,1.744186047,-6.148867314
45003020500,-81.92586397,33.58222242,486,486,Conventional,13,2018,11,510,4,8,61,1,438,164,301,241,354,54,78,306,27,153,439,47,0.504,0.910192528,486,74,87.03999026,8493,23.7,62300,139,2544,3018,103.9268062,165,-5.172413793,-6.538461538
45003020601,-81.89868883,33.55802926,245,245,Conventional,1,2018,7,242,3,3,49,0,194,89,152,111,169,40,36,144,17,84,229,16,0.4537,0.852020147,245,71,44.389651,3761,29.03,62300,169,1370,1437,78.07287003,155,-3.125,3.375527426
45003020602,-81.93872692,33.53790652,257,257,Conventional,2,2018,18,227,5,1,51,0,187,90,149,105,159,49,49,147,17,93,236,21,1.004,1.11875272,257,45,27.57389798,6357,49.58,62300,73,1674,2422,36.95711937,85,0,18.43317972
45003020701,-81.96834367,33.52878978,318,317,Conventional,0,2018,17,293,4,6,40,2,264,112,173,152,225,38,55,186,19,113,291,27,0.747,0.756398652,318,59,46.22147783,5599,23.84,62300,97,1742,2329,61.11789184,115,-6.504065041,7.796610169
